ProjectID;RequirementText;Function;Data;Behavior
2;The product shall be able to support multiple remote users;0;0;1
2;The product shall retain user preferences in the event of a failure.;0;1;1
3;Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort;1;0;0
8;Website shall request and authorize credit card payment before allowing a user to stream a movie.;0;0;1
10;For each shot the product shall notify the players whether the shot was a hit or miss.;0;0;1
3;Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.;1;0;0
3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.;1;1;0
4;Only users with Update access must be able to initiate dispute requests.;1;0;1
8;Users should be able to access their streaming movies in under 2 clicks after logging into the website.;1;0;0
8;All streaming movie sales will be logged in the database and accessible by the administrator.;1;0;1
10;The product shall continue to assign turns until the game is ended.;0;0;1
4;The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.;0;0;1
4;The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.;1;1;0
1;The system shall display Events in a vertical table by time.;1;0;0
6;The product shall be able to send meeting notifications via different kinds of end-user specified methods.;1;0;0
4;The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.;0;1;0
6;The product shall record different meeting types.;1;1;0
2;The search results shall be returned no later 30 seconds after the user has entered the search criteria;0;0;1
3;The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.;1;0;0
6;The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.;1;0;0
5;The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.;0;0;1
6;The product shall record meeting entries.;1;0;0
4;The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;1;1;0
3;For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.;1;1;0
2;The product shall allow the user to view previously downloaded search results CMA reports and appointments.;1;0;0
2;The product shall generate a CMA report in an acceptable time.;1;0;0
6;The product will record meeting acknowledgements.;1;0;0
10;If the shot was marked as a miss the product shall change the status of the offensive player to defensive;0;0;1
6;The product shall allow an organizer to invite other employees to meetings.;1;0;0
9;The vendor will verify the invalid lead.;1;0;0
3;A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.;1;0;0
3;The system shall protect private information in accordance with the organization's information policy.;1;0;0
7;The System shall be able to automatically backup business data and restore them on demand.;0;0;1
9;If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.;0;0;1
5;The system shall generate an audit report based on the available recycled parts and the collision estimate.;1;0;0
2;The system shall update or create new property listings in the MLS;1;0;0
"8;""System shall allow users to update their billing and contact information via the """"My Account"""" section of the website."";1;0;0"
13;The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.;1;1;0
4;The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information  the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.;1;1;1
8;viewing a movie details the website will display the movies description actor and director entered in by the administrator.;1;0;1
13;The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface;1;1;0
8;The system shall notify customers of changes to its information policy.;1;0;1
8;Izogn Administrator must be able to add new products to the website within 2 minutes.;1;0;0
10;For each turn the product shall allow the offensive player to define a shot.;0;0;1
14;The application shall ask the user to confirm dropping a player or trading a player before performing the action.;0;0;1
8;System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.;1;0;1
10;If the shot was marked as a miss the product shall change the status of the defensive player to offensive;0;0;1
3;Students added to a cohort shall be eligible for the cohort's Program of Study.;0;0;1
10;The product shall maintain the status of each player for a turn either offensive or defensive.;0;1;1
10;When the hit results in sinking a ship the product shall notify the players that the ship was sunk.;0;0;1
